Date,close,YLD_CNV_LAST
2016-11-16,83.242,8.546
2016-11-17,83.911,8.47
2016-11-18,83.198,8.552
2016-11-21,84.081,8.451
2016-11-22,83.589,8.507
2016-11-23,83.866,8.476
2016-11-25,83.454,8.523
2016-11-28,83.671,8.498
2016-11-29,83.398,8.529
2016-11-30,83.293,8.542
2016-12-01,82.292,8.658
2016-12-02,82.364,8.65
2016-12-05,82.975,8.579
2016-12-06,84.864,8.364
2016-12-07,86.125,8.225
2016-12-08,84.984,8.351
2016-12-09,85.113,8.337
2016-12-12,85.498,8.294
2016-12-13,85.862,8.254
2016-12-14,84.407,8.416
2016-12-15,84.249,8.434
2016-12-16,84.126,8.448
2016-12-19,84.426,8.414
2016-12-20,84.821,8.37
2016-12-21,85.538,8.291
2016-12-22,85.889,8.252
2016-12-23,86.036,8.236
2016-12-27,85.818,8.26
2016-12-28,85.824,8.26
2016-12-29,86.091,8.231
2016-12-30,86.299,8.208
2017-01-03,86.33,8.205
2017-01-04,87.808,8.046
2017-01-05,90.086,7.809
2017-01-06,89.987,7.819
2017-01-09,90.872,7.729
2017-01-10,89.81,7.837
2017-01-11,89.907,7.828
2017-01-12,89.524,7.867
2017-01-13,89.807,7.838
2017-01-17,91.136,7.703
2017-01-18,89.772,7.842
2017-01-19,89.249,7.896
2017-01-20,89.305,7.89
2017-01-23,89.713,7.848
2017-01-24,89.992,7.819
2017-01-25,89.93,7.826
2017-01-26,89.021,7.92
2017-01-27,89.864,7.833
2017-01-30,90.074,7.811
2017-01-31,90.181,7.8
2017-02-01,91.573,7.66
2017-02-02,92.182,7.599
2017-02-03,92.842,7.535
2017-02-06,92.873,7.532
2017-02-07,91.9,7.627
2017-02-08,91.759,7.641
2017-02-09,91.578,7.659
2017-02-10,92.843,7.535
2017-02-13,93.069,7.513
2017-02-14,93.533,7.468
2017-02-15,92.454,7.573
2017-02-16,92.281,7.59
2017-02-17,91.751,7.642
2017-02-21,92.556,7.563
2017-02-22,93.098,7.51
2017-02-23,94.109,7.412
2017-02-24,93.783,7.444
2017-02-27,93.346,7.486
2017-02-28,92.687,7.55
2017-03-01,92.779,7.541
2017-03-02,92.741,7.545
2017-03-03,92.898,7.53
2017-03-06,92.608,7.558
2017-03-07,92.351,7.583
2017-03-08,89.826,7.837
2017-03-09,89.006,7.922
2017-03-10,91.024,7.716
2017-03-13,90.712,7.747
2017-03-14,89.735,7.847
2017-03-15,92.32,7.586
2017-03-16,92.239,7.595
2017-03-17,92.257,7.593
2017-03-20,92.305,7.588
2017-03-21,92.138,7.605
2017-03-22,92.557,7.563
2017-03-23,92.47,7.572
2017-03-24,92.299,7.589
2017-03-27,92.856,7.534
2017-03-28,94.015,7.422
2017-03-29,94.796,7.347
2017-03-30,95.444,7.286
2017-03-31,95.04,7.324
2017-04-03,95.197,7.31
2017-04-04,95.237,7.306
2017-04-05,95.423,7.288
2017-04-06,95.639,7.268
2017-04-07,95.678,7.265
2017-04-10,95.764,7.257
2017-04-11,96.406,7.197
2017-04-12,96.124,7.223
2017-04-13,95.937,7.241
2017-04-17,95.79,7.254
2017-04-18,95.675,7.265
2017-04-19,95.855,7.248
2017-04-20,95.878,7.246
2017-04-21,96.643,7.175
2017-04-24,97.186,7.125
2017-04-25,96.147,7.221
2017-04-26,95.775,7.256
2017-04-27,95.67,7.266
2017-04-28,96.261,7.211
2017-05-01,95.867,7.247
2017-05-02,96.68,7.172
2017-05-03,96.621,7.178
2017-05-04,96.04,7.231
2017-05-05,96.18,7.218
2017-05-08,96.017,7.234
2017-05-09,96.036,7.232
2017-05-10,96.368,7.201
2017-05-11,97.312,7.114
2017-05-12,99.082,6.955
2017-05-15,99.012,6.961
2017-05-16,99.317,6.934
2017-05-17,98.501,7.007
2017-05-18,94.701,7.358
2017-05-19,94.619,7.366
2017-05-22,94.295,7.397
2017-05-23,95.062,7.324
2017-05-24,96.383,7.2
2017-05-25,95.272,7.304
2017-05-26,95.557,7.277
2017-05-30,95.676,7.266
2017-05-31,95.76,7.258
2017-06-01,96.421,7.197
2017-06-02,97.006,7.143
2017-06-05,96.271,7.211
2017-06-06,96.733,7.168
2017-06-07,96.524,7.187
2017-06-08,95.831,7.252
