Date,close
2017-12-29,101.892
2018-01-02,101.791
2018-01-03,103.86
2018-01-04,104.209
2018-01-05,104.02
2018-01-08,102.837
2018-01-09,102.052
2018-01-10,102.608
2018-01-11,102.565
2018-01-12,102.695
2018-01-16,102.691
2018-01-17,101.789
2018-01-18,101.27
2018-01-19,99.834
2018-01-22,100.046
2018-01-23,100.992
2018-01-24,101.592
2018-01-25,103.654
2018-01-26,103.96
2018-01-29,103.305
2018-01-30,102.6
2018-01-31,103.107
2018-02-01,101.995
2018-02-02,101.298
2018-02-05,101.259
2018-02-06,99.819
2018-02-07,100.626
2018-02-08,98.286
2018-02-09,95.005
2018-02-12,97.477
2018-02-13,97.05
2018-02-14,95.994
2018-02-15,97.939
2018-02-16,99.692
2018-02-20,98.664
2018-02-21,97.71
2018-02-22,97.757
2018-02-23,97.924
2018-02-26,98.536
2018-02-27,98.613
2018-02-28,98.157
2018-03-01,96.866
2018-03-02,96.512
2018-03-05,97.128
2018-03-06,97.319
2018-03-07,97.007
2018-03-08,96.883
2018-03-09,97.187
2018-03-12,97.774
2018-03-13,97.403
2018-03-14,97.089
2018-03-15,96.737
2018-03-16,97.256
2018-03-19,95.621
2018-03-20,95.197
2018-03-21,96.118
2018-03-22,95.782
2018-03-23,95.571
2018-03-26,95.695
2018-03-27,97.401
2018-03-28,96.996
2018-03-29,98.436
2018-04-02,98.397
2018-04-03,98.72
2018-04-04,98.804
2018-04-05,99.365
2018-04-06,99.558
2018-04-09,99.387
2018-04-10,99.667
2018-04-11,99.365
2018-04-12,99.421
2018-04-13,99.373
2018-04-16,99.031
2018-04-17,99.18
2018-04-18,99.264
2018-04-19,98.54
2018-04-20,97.914
2018-04-23,97.977
2018-04-24,97.761
2018-04-25,96.836
2018-04-26,97.395
2018-04-27,96.468
2018-04-30,96.159
2018-05-01,95.57
2018-05-02,94.59
2018-05-03,93.999
2018-05-04,94.816
2018-05-07,94.801
2018-05-08,93.226
2018-05-09,94.195
2018-05-10,96.485
2018-05-11,96.893
2018-05-14,96.81
2018-05-15,95.234
2018-05-16,95.577
2018-05-17,94.905
2018-05-18,93.294
2018-05-21,95.269
2018-05-22,95.689
2018-05-23,97.077
2018-05-24,95.104
2018-05-25,94.968
2018-05-29,93.147
2018-05-30,93.005
2018-05-31,92.451
2018-06-01,89.768
2018-06-04,90.232
2018-06-05,91.313
2018-06-06,90.135
2018-06-07,88.024
2018-06-08,89.405
2018-06-11,88.344
2018-06-12,87.729
2018-06-13,88.774
2018-06-14,88.616
2018-06-15,88.967
2018-06-18,88.625
2018-06-19,88.328
2018-06-20,89.148
2018-06-21,90.254
2018-06-22,91.488
2018-06-25,90.864
2018-06-26,90.828
2018-06-27,90.602
2018-06-28,90.265
2018-06-29,90.279
2018-07-02,90.278
2018-07-03,91.596
2018-07-05,91.886
2018-07-06,93.581
2018-07-09,92.941
2018-07-10,93.721
2018-07-11,93.03
2018-07-12,93.729
2018-07-13,94.335
2018-07-16,94.143
2018-07-17,94.235
2018-07-18,94.092
2018-07-19,94.025
2018-07-20,95.458
2018-07-23,95.26
2018-07-24,95.302
2018-07-25,95.682
2018-07-26,96.151
2018-07-27,96.651
2018-07-30,96.604
2018-07-31,96.493
2018-08-01,95.152
2018-08-02,95.219
2018-08-03,96.643
2018-08-06,96.123
2018-08-07,95.481
2018-08-08,94.56
2018-08-09,93.448
2018-08-10,92.221
2018-08-13,90.224
2018-08-14,91.194
2018-08-15,90.941
2018-08-16,92.674
2018-08-17,92.055
2018-08-20,92.406
2018-08-21,92.221
2018-08-22,90.167
2018-08-23,90.771
2018-08-24,90.24
2018-08-27,90.317
2018-08-28,90.152
2018-08-29,90.183
2018-08-30,90.254
2018-08-31,90.011
2018-09-04,89.134
2018-09-05,89.392
2018-09-06,91.048
2018-09-07,90.914
2018-09-10,90.486
2018-09-11,89.612
2018-09-12,90.529
2018-09-13,89.739
2018-09-14,89.76
2018-09-17,89.929
2018-09-18,89.366
2018-09-19,89.795
2018-09-20,91.146
2018-09-21,92.678
2018-09-24,92.531
2018-09-25,91.247
2018-09-26,92.944
2018-09-27,93.498
2018-09-28,93.045
2018-10-01,92.449
2018-10-02,93.733
2018-10-03,95.323
2018-10-04,93.571
2018-10-05,93.437
2018-10-09,95.912
2018-10-10,93.829
2018-10-11,95.099
2018-10-12,95.695
2018-10-15,96.103
2018-10-16,96.89
2018-10-17,96.551
2018-10-18,96.152
2018-10-19,96.241
2018-10-22,96.133
2018-10-23,94.771
2018-10-24,95.109
2018-10-25,94.613
2018-10-26,94.842
2018-10-29,95.059
2018-10-30,95.236
2018-10-31,95.827
2018-11-01,95.837
2018-11-02,96.226
2018-11-05,97.469
2018-11-06,96.931
2018-11-07,97.113
2018-11-08,96.744
2018-11-09,97.078
2018-11-13,96.73
2018-11-14,96.285
2018-11-15,95.416
2018-11-16,95.805
2018-11-19,95.298
2018-11-20,94.778
2018-11-21,94.64
2018-11-23,94.756
2018-11-26,94.318
2018-11-27,92.971
2018-11-28,93.817
2018-11-29,93.938
2018-11-30,94.289
2018-12-03,95.879
2018-12-04,95.633
2018-12-06,94.389
2018-12-07,96.225
2018-12-10,95.656
