Date,PX_LAST,YLD_CNV_LAST
31/03/2022,103.497,6.538
30/03/2022,103.588,6.53
29/03/2022,103.522,6.536
28/03/2022,102.549,6.628
25/03/2022,102.679,6.615
24/03/2022,102.572,6.626
23/03/2022,103.019,6.584
22/03/2022,102.085,6.672
21/03/2022,102.599,6.623
18/03/2022,102.156,6.665
17/03/2022,102.743,6.61
16/03/2022,102.916,6.593
15/03/2022,101.646,6.714
14/03/2022,102.047,6.676
11/03/2022,102.91,6.594
10/03/2022,103.59,6.53
09/03/2022,102.769,6.608
08/03/2022,102.427,6.64
07/03/2022,102.032,6.677
04/03/2022,101.377,6.74
03/03/2022,103.49,6.54
02/03/2022,103.192,6.568
01/03/2022,103.683,6.522
28/02/2022,104.561,6.441
25/02/2022,104.492,6.447
24/02/2022,103.394,6.549
23/02/2022,103.613,6.529
22/02/2022,104.408,6.455
18/02/2022,105.001,6.401
17/02/2022,104.879,6.412
16/02/2022,104.114,6.483
15/02/2022,104.549,6.443
14/02/2022,104.574,6.441
11/02/2022,105.755,6.333
10/02/2022,105.38,6.367
09/02/2022,106.306,6.284
08/02/2022,105.794,6.33
07/02/2022,105.404,6.365
04/02/2022,105.51,6.356
03/02/2022,106.455,6.27
02/02/2022,106.836,6.237
01/02/2022,106.399,6.276
31/01/2022,106.573,6.26
28/01/2022,106.194,6.294
27/01/2022,106.947,6.227
26/01/2022,106.325,6.283
25/01/2022,106.568,6.261
24/01/2022,106.195,6.295
21/01/2022,106.731,6.247
20/01/2022,106.971,6.225
19/01/2022,106.118,6.302
18/01/2022,104.573,6.442
14/01/2022,105.374,6.369
13/01/2022,106.904,6.232
12/01/2022,106.773,6.243
11/01/2022,107.35,6.192
10/01/2022,106.828,6.239
07/01/2022,107.211,6.205
06/01/2022,107.795,6.153
05/01/2022,107.46,6.183
04/01/2022,109.086,6.041
03/01/2022,109.591,5.997
31/12/2021,109.788,5.981
30/12/2021,110.207,5.945
29/12/2021,109.815,5.978
28/12/2021,109.677,5.99
27/12/2021,109.86,5.975
23/12/2021,110.075,5.956
22/12/2021,109.14,6.037
21/12/2021,109.046,6.045
20/12/2021,107.943,6.141
17/12/2021,109.534,6.003
16/12/2021,110.508,5.92
15/12/2021,110.202,5.946
14/12/2021,110.568,5.915
13/12/2021,110.777,5.898
10/12/2021,110.65,5.908
09/12/2021,110.574,5.915
08/12/2021,110.919,5.886
07/12/2021,110.727,5.902
06/12/2021,109.832,5.978
03/12/2021,109.625,5.996
02/12/2021,109.134,6.038
01/12/2021,108.594,6.085
30/11/2021,107.634,6.169
29/11/2021,107.442,6.186
26/11/2021,107.022,6.223
24/11/2021,107.901,6.145
23/11/2021,108.428,6.1
22/11/2021,109.441,6.013
19/11/2021,109.545,6.004
18/11/2021,110.155,5.952
17/11/2021,109.805,5.982
16/11/2021,109.641,5.996
15/11/2021,109.639,5.996
12/11/2021,109.726,5.989
10/11/2021,109.743,5.987
09/11/2021,110.175,5.951
08/11/2021,109.994,5.966
05/11/2021,109.761,5.986
04/11/2021,109.411,6.016
03/11/2021,107.596,6.173
02/11/2021,107.585,6.174
01/11/2021,107.995,6.139
29/10/2021,109.096,6.043
28/10/2021,110.553,5.919
27/10/2021,110.953,5.886
26/10/2021,110.686,5.908
25/10/2021,110.613,5.915
22/10/2021,109.258,6.03
21/10/2021,110.878,5.893
20/10/2021,112.22,5.781
19/10/2021,112.949,5.721
18/10/2021,114.113,5.627
15/10/2021,114.256,5.615
14/10/2021,114.546,5.592
13/10/2021,113.73,5.658
12/10/2021,113.941,5.641
08/10/2021,113.659,5.664
07/10/2021,113.821,5.651
06/10/2021,113.099,5.71
05/10/2021,113.535,5.675
04/10/2021,113.739,5.658
01/10/2021,114.644,5.586
30/09/2021,114.361,5.608
29/09/2021,114.682,5.583
28/09/2021,113.769,5.657
27/09/2021,114.982,5.559
24/09/2021,116.218,5.462
23/09/2021,115.947,5.483
22/09/2021,118.122,5.314
21/09/2021,117.719,5.346
20/09/2021,117.403,5.37
17/09/2021,117.842,5.336
16/09/2021,118.41,5.293
15/09/2021,119.119,5.239
14/09/2021,119.816,5.187
13/09/2021,118.901,5.256
10/09/2021,119.104,5.241
09/09/2021,119.151,5.237
08/09/2021,119.345,5.223
07/09/2021,119.556,5.207
03/09/2021,119.648,5.201
